feature,n_pairs,official_nonmissing,recomputed_nonmissing,mean_abs_error,median_abs_error,max_abs_error,allclose_atol_1e_6
PQ_Int_I,3,3,3,21.593073593073587,7.818181818181813,55.81818181818181,False
PQ_Int_I_iqr,3,3,3,15.666666666666666,8.0,39.0,False
PQ_Int_I_count,3,3,3,0.0,0.0,0.0,True
PQ_Int_II,3,3,3,23.385281385281388,19.454545454545467,41.27272727272728,False
PQ_Int_II_iqr,3,3,3,15.666666666666666,11.0,33.0,False
PQ_Int_II_count,3,3,3,0.0,0.0,0.0,True
PQ_Int_III,3,3,3,12.251082251082247,10.571428571428555,20.181818181818187,False
PQ_Int_III_iqr,3,3,3,6.333333333333333,6.0,12.0,False
PQ_Int_III_count,3,3,3,0.0,0.0,0.0,True
PQ_Int_V1,3,3,3,16.640692640692635,20.285714285714278,21.090909090909093,False
PQ_Int_V1_iqr,3,3,3,20.333333333333332,23.0,29.0,False
PQ_Int_V1_count,3,3,3,0.0,0.0,0.0,True
PQ_Int_V2,3,3,3,20.251082251082256,24.72727272727272,27.454545454545467,False
PQ_Int_V2_iqr,3,3,3,26.0,27.0,51.0,False
PQ_Int_V2_count,3,3,3,0.0,0.0,0.0,True
PQ_Int_V3,3,3,3,14.095238095238093,11.454545454545467,26.545454545454533,False
PQ_Int_V3_iqr,3,3,3,8.333333333333334,1.0,23.0,False
PQ_Int_V3_count,3,3,3,0.0,0.0,0.0,True
PQ_Int_V4,3,3,3,16.181818181818183,14.0,30.909090909090907,False
PQ_Int_V4_iqr,3,3,3,18.333333333333332,24.0,30.0,False
PQ_Int_V4_count,3,3,3,0.0,0.0,0.0,True
PQ_Int_V5,3,3,3,16.8917748917749,12.857142857142861,36.363636363636374,False
PQ_Int_V5_iqr,3,3,3,11.666666666666666,1.0,33.0,False
PQ_Int_V5_count,3,3,3,0.0,0.0,0.0,True
PQ_Int_V6,3,3,3,13.922077922077923,18.181818181818187,22.85714285714286,False
PQ_Int_V6_iqr,3,3,3,11.666666666666666,6.0,28.0,False
PQ_Int_V6_count,3,3,3,0.0,0.0,0.0,True
PQ_Int_aVF,3,3,3,33.19480519480519,22.545454545454533,60.85714285714286,False
PQ_Int_aVF_iqr,3,3,3,9.333333333333334,13.0,13.0,False
PQ_Int_aVF_count,3,3,3,0.0,0.0,0.0,True
PQ_Int_aVL,3,3,3,28.75324675324676,29.090909090909093,37.71428571428572,False
PQ_Int_aVL_iqr,3,3,3,18.333333333333332,17.0,31.0,False
