model_name,modality,input_features,fusion_mechanism,split,metric,estimate,ci_lower,ci_upper,notes
strong_signal_only,waveform,waveform,none,test,AUROC,0.9098145514801864,,,"Fair-interface ablation; multimodal gain attributed to complementarity, not gated superiority."
strong_signal_only,waveform,waveform,none,test,average_precision,0.7720569033583059,,,"Fair-interface ablation; multimodal gain attributed to complementarity, not gated superiority."
strong_signal_only,waveform,waveform,none,test,F1,0.699812139990542,,,"Fair-interface ablation; multimodal gain attributed to complementarity, not gated superiority."
strong_signal_only,waveform,waveform,none,test,Brier,0.0902657783630855,0.0859005630320808,0.0947308823174902,"Fair-interface ablation; multimodal gain attributed to complementarity, not gated superiority."
strong_signal_only,waveform,waveform,none,test,ECE,0.0319842109463365,0.0302145078548875,0.0402404720955802,"Fair-interface ablation; multimodal gain attributed to complementarity, not gated superiority."
signal_embedding_mlp,signal embedding,signal embedding,none,test,AUROC,0.9094370505165978,,,"Fair-interface ablation; multimodal gain attributed to complementarity, not gated superiority."
signal_embedding_mlp,signal embedding,signal embedding,none,test,average_precision,0.7723626520223539,,,"Fair-interface ablation; multimodal gain attributed to complementarity, not gated superiority."
signal_embedding_mlp,signal embedding,signal embedding,none,test,F1,0.7002162028010851,,,"Fair-interface ablation; multimodal gain attributed to complementarity, not gated superiority."
signal_embedding_mlp,signal embedding,signal embedding,none,test,Brier,0.0883214029422767,,,"Fair-interface ablation; multimodal gain attributed to complementarity, not gated superiority."
signal_embedding_mlp,signal embedding,signal embedding,none,test,ECE,0.0216885825062451,,,"Fair-interface ablation; multimodal gain attributed to complementarity, not gated superiority."
structured_mlp,PTB-XL+ structured,PTB-XL+ structured,none,test,AUROC,0.904558478266399,,,"Fair-interface ablation; multimodal gain attributed to complementarity, not gated superiority."
structured_mlp,PTB-XL+ structured,PTB-XL+ structured,none,test,average_precision,0.7651519782366677,,,"Fair-interface ablation; multimodal gain attributed to complementarity, not gated superiority."
structured_mlp,PTB-XL+ structured,PTB-XL+ structured,none,test,F1,0.6898926599155943,,,"Fair-interface ablation; multimodal gain attributed to complementarity, not gated superiority."
structured_mlp,PTB-XL+ structured,PTB-XL+ structured,none,test,Brier,0.0942079052680269,0.0899906278419684,0.0983395572243103,"Fair-interface ablation; multimodal gain attributed to complementarity, not gated superiority."
structured_mlp,PTB-XL+ structured,PTB-XL+ structured,none,test,ECE,0.0212262025334467,0.0220738806127379,0.0312194176937041,"Fair-interface ablation; multimodal gain attributed to complementarity, not gated superiority."
fair_concat_mlp,signal embedding + structured,signal embedding + structured,fair concat,test,AUROC,0.9192507455884116,,,"Fair-interface ablation; multimodal gain attributed to complementarity, not gated superiority."
fair_concat_mlp,signal embedding + structured,signal embedding + structured,fair concat,test,average_precision,0.7952891946259257,,,"Fair-interface ablation; multimodal gain attributed to complementarity, not gated superiority."
fair_concat_mlp,signal embedding + structured,signal embedding + structured,fair concat,test,F1,0.7207618723642264,,,"Fair-interface ablation; multimodal gain attributed to complementarity, not gated superiority."
fair_concat_mlp,signal embedding + structured,signal embedding + structured,fair concat,test,Brier,0.0863555013277471,0.0818464536637931,0.0908802610956084,"Fair-interface ablation; multimodal gain attributed to complementarity, not gated superiority."
fair_concat_mlp,signal embedding + structured,signal embedding + structured,fair concat,test,ECE,0.0282842652291674,0.0279685480478557,0.0370103630473013,"Fair-interface ablation; multimodal gain attributed to complementarity, not gated superiority."
gated_fusion_mlp,signal embedding + structured,signal embedding + structured,gated fusion,test,AUROC,0.9195696937646384,,,"Fair-interface ablation; multimodal gain attributed to complementarity, not gated superiority."
gated_fusion_mlp,signal embedding + structured,signal embedding + structured,gated fusion,test,average_precision,0.797778685859135,,,"Fair-interface ablation; multimodal gain attributed to complementarity, not gated superiority."
gated_fusion_mlp,signal embedding + structured,signal embedding + structured,gated fusion,test,F1,0.7254634145855452,,,"Fair-interface ablation; multimodal gain attributed to complementarity, not gated superiority."
gated_fusion_mlp,signal embedding + structured,signal embedding + structured,gated fusion,test,Brier,0.0844206012355246,0.079729066419459,0.0885713398500221,"Fair-interface ablation; multimodal gain attributed to complementarity, not gated superiority."
gated_fusion_mlp,signal embedding + structured,signal embedding + structured,gated fusion,test,ECE,0.0192763995064153,0.0207191381586141,0.0288183295741381,"Fair-interface ablation; multimodal gain attributed to complementarity, not gated superiority."
